student_id,Gender,Course,OPIc,OPIC,Level,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40,Item41,Item42,Item43,Item44,Item45,Item46,Item47,Item48,Item49,Item50,item1_10,item11_20,item21_30,item31_40,item41_50,item1_50,master1,master2,master3,master4,master5
A83655711,Female,200,IM,5,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,36,NA,NA,NA,76,1,0,0,0,0
A83846653,Female,300,IH,6,2,4,4,4,4,3,4,4,4,NA,4,4,4,4,4,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,34,NA,NA,NA,69,1,0,0,0,0
A83852905,Male,300,IM,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,35,NA,NA,NA,75,1,0,0,0,0
A83885968,Female,300,IL,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,33,NA,NA,NA,73,1,0,0,0,0
A83997694,Female,300,IM,5,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,31,NA,NA,NA,71,1,0,0,0,0
A84628636,Female,400,IM,5,1,4,4,4,3,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,32,0,0,0,0,0
A84661420,Male,100,NM,2,1,3,4,4,3,3,3,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,34,0,0,0,0,0
A84779361,Female,300,IH,6,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,38,37,NA,NA,114,1,1,0,0,0
A84843355,Male,200,NM,2,1,3,4,4,4,3,3,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,30,0,0,0,0,0
A84955247,Female,200,IL,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,40,35,NA,155,1,1,1,0,0
A85073598,Male,300,IH,6,1,4,4,4,3,3,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,32,0,0,0,0,0
A85618375,Female,300,BR,NA,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,3,4,4,4,3,3,4,3,3,40,40,38,38,33,189,1,1,1,1,0
A85751975,Female,300,IL,4,1,4,4,3,3,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,25,0,0,0,0,0
